x,y,z
-0.476378,-0.0275591,0.0231602
-0.476378,-0.019685,0.0232015
-0.476378,-0.011811,0.023229
-0.476378,-0.00393701,0.0232428
-0.476378,0.00393701,0.0232428
-0.476378,0.011811,0.023229
-0.476378,0.019685,0.0232015
-0.476378,0.0275591,0.0231602
-0.476378,0.0354331,0.0231052
-0.476378,0.0433071,0.0230366
-0.476378,0.0511811,0.0229542
-0.476378,0.0590551,0.0228583
-0.476378,0.0669291,0.0227489
-0.476378,0.0748031,0.0226259
-0.476378,0.0826772,0.0224896
-0.476378,0.0905512,0.0223399
-0.476378,0.0984252,0.022177
-0.476378,0.106299,0.022001
-0.476378,0.114173,0.0218119
-0.476378,0.122047,0.0216099
-0.476378,0.129921,0.021395
-0.476378,0.137795,0.0211675
-0.476378,0.145669,0.0209275
-0.476378,0.153543,0.020675
-0.476378,0.161417,0.0204103
-0.476378,0.169291,0.0201335
-0.476378,0.177165,0.0198447
-0.476378,0.185039,0.0195442
-0.476378,0.192913,0.0192321
-0.476378,0.200787,0.0189085
-0.476378,0.208661,0.0185738
-0.476378,0.216535,0.018228
-0.476378,0.224409,0.0178714
-0.476378,0.232283,0.0175042
-0.476378,0.240157,0.0171266
-0.476378,0.248031,0.0167389
-0.476378,0.255906,0.0163412
-0.476378,0.26378,0.0159338
-0.476378,0.271654,0.0155169
-0.476378,0.279528,0.0150908
-0.476378,0.287402,0.0146558
-0.476378,0.295276,0.014212
-0.476378,0.30315,0.0137598
-0.476378,0.311024,0.0132995
-0.476378,0.318898,0.0128312
-0.476378,0.326772,0.0123553
-0.476378,0.334646,0.011872
-0.476378,0.34252,0.0113817
-0.476378,0.350394,0.0108846
-0.476378,0.358268,0.0103811
-0.476378,0.366142,0.00987137
-0.476378,0.374016,0.00935578
-0.476378,0.38189,0.00883462
-0.476378,0.389764,0.00830821
-0.476378,0.397638,0.00777686
-0.476378,0.405512,0.00724087
-0.476378,0.413386,0.00670058
-0.476378,0.42126,0.00615631
-0.476378,0.429134,0.00560836
-0.476378,0.437008,0.00505709
-0.476378,0.444882,0.0045028
-0.476378,0.452756,0.00394583
