x,y,z
-0.5,0.397638,0
-0.5,0.405512,0
-0.5,0.413386,0
-0.5,0.42126,0
-0.5,0.429134,0
-0.5,0.437008,0
-0.5,0.444882,0
-0.5,0.452756,0
-0.5,0.46063,0
-0.5,0.468504,0
-0.5,0.476378,0
-0.5,0.484252,0
-0.5,0.492126,0
-0.5,0.5,0

-0.492126,-0.5,0
-0.492126,-0.492126,1
-0.492126,-0.484252,1
-0.492126,-0.476378,1
-0.492126,-0.468504,1
-0.492126,-0.46063,1
-0.492126,-0.452756,1
-0.492126,-0.444882,1
-0.492126,-0.437008,1
-0.492126,-0.429134,1
-0.492126,-0.42126,1
-0.492126,-0.413386,1
-0.492126,-0.405512,1
-0.492126,-0.397638,1
-0.492126,-0.389764,1
-0.492126,-0.38189,1
-0.492126,-0.374016,1
-0.492126,-0.366142,1
-0.492126,-0.358268,1
-0.492126,-0.350394,1
-0.492126,-0.34252,1
-0.492126,-0.334646,1
-0.492126,-0.326772,1
-0.492126,-0.318898,1
-0.492126,-0.311024,1
-0.492126,-0.30315,1
-0.492126,-0.295276,1
-0.492126,-0.287402,1
-0.492126,-0.279528,1
-0.492126,-0.271654,1
-0.492126,-0.26378,1
-0.492126,-0.255906,1
-0.492126,-0.248031,1
-0.492126,-0.240157,1
-0.492126,-0.232283,1
-0.492126,-0.224409,1
-0.492126,-0.216535,1
-0.492126,-0.208661,1
-0.492126,-0.200787,1
-0.492126,-0.192913,1
-0.492126,-0.185039,1
-0.492126,-0.177165,1
-0.492126,-0.169291,1
-0.492126,-0.161417,1
-0.492126,-0.153543,1
-0.492126,-0.145669,1
-0.492126,-0.137795,1
-0.492126,-0.129921,1
-0.492126,-0.122047,1
-0.492126,-0.114173,1
-0.492126,-0.106299,1
-0.492126,-0.0984252,1
-0.492126,-0.0905512,1
-0.492126,-0.0826772,1
-0.492126,-0.0748031,1
-0.492126,-0.0669291,1
-0.492126,-0.0590551,1
-0.492126,-0.0511811,1
-0.492126,-0.0433071,1
-0.492126,-0.0354331,1
-0.492126,-0.0275591,1
-0.492126,-0.019685,1
-0.492126,-0.011811,1
-0.492126,-0.00393701,1
-0.492126,0.00393701,1
-0.492126,0.011811,1
-0.492126,0.019685,1
-0.492126,0.0275591,1
-0.492126,0.0354331,1
-0.492126,0.0433071,1
-0.492126,0.0511811,1
-0.492126,0.0590551,1
-0.492126,0.0669291,1
-0.492126,0.0748031,1
-0.492126,0.0826772,1
-0.492126,0.0905512,1
-0.492126,0.0984252,1
-0.492126,0.106299,1
-0.492126,0.114173,1
-0.492126,0.122047,1
-0.492126,0.129921,1
-0.492126,0.137795,1
-0.492126,0.145669,1
-0.492126,0.153543,1
-0.492126,0.161417,1
-0.492126,0.169291,1
-0.492126,0.177165,1
-0.492126,0.185039,1
-0.492126,0.192913,1
-0.492126,0.200787,1
-0.492126,0.208661,1
-0.492126,0.216535,1
-0.492126,0.224409,1
-0.492126,0.232283,1
-0.492126,0.240157,1
-0.492126,0.248031,1
-0.492126,0.255906,1
-0.492126,0.26378,1
-0.492126,0.271654,1
-0.492126,0.279528,1
-0.492126,0.287402,1
-0.492126,0.295276,1
-0.492126,0.30315,1
-0.492126,0.311024,1
-0.492126,0.318898,1
-0.492126,0.326772,1
-0.492126,0.334646,1
-0.492126,0.34252,1
-0.492126,0.350394,1
-0.492126,0.358268,1
-0.492126,0.366142,1
-0.492126,0.374016,1
-0.492126,0.38189,1
-0.492126,0.389764,1
-0.492126,0.397638,1
-0.492126,0.405512,1
-0.492126,0.413386,1
-0.492126,0.42126,1
-0.492126,0.429134,1
-0.492126,0.437008,1
-0.492126,0.444882,1
-0.492126,0.452756,1
-0.492126,0.46063,1
-0.492126,0.468504,1
-0.492126,0.476378,1
-0.492126,0.484252,1
-0.492126,0.492126,1
-0.492126,0.5,0

-0.484252,-0.5,0
-0.484252,-0.492126,1
-0.484252,-0.484252,1
-0.484252,-0.476378,1
-0.484252,-0.468504,1
-0.484252,-0.46063,1
-0.484252,-0.452756,1
-0.484252,-0.444882,1
-0.484252,-0.437008,1
-0.484252,-0.429134,1
-0.484252,-0.42126,1
-0.484252,-0.413386,1
-0.484252,-0.405512,1
-0.484252,-0.397638,1
-0.484252,-0.389764,1
-0.484252,-0.38189,1
